rank,institution,count,percentage,country,region
1,Tsinghua University,134.826,2.5177579449288108,China,China (Mainland)
2,Zhejiang University,97.487,1.8204948291561887,China,China (Mainland)
3,Shanghai Jiao Tong University,93.855,1.75266399311807,China,China (Mainland)
4,Carnegie Mellon University,88.208,1.6472091616939033,USA,USA
5,Peking University,87.476,1.6335406018068555,China,China (Mainland)
6,Stanford University,85.987,1.6057393751260778,USA,USA
7,MIT,82.235,1.5356692595377543,USA,USA
8,NUS,74.633,1.3937091262021237,Singapore,Singapore
9,KAIST,69.516,1.2981495628554456,South Korea,South Korea
10,Microsoft,67.672,1.2637244724079464,USA,USA
11,USTC,62.249,1.1624501652512869,China,China (Mainland)
12,UCAS,55.286,1.032411954680863,China,China (Mainland)
13,University of Oxford,54.422,1.016280586308598,UK,UK
14,UC Berkeley,54.356,1.0150549532091626,USA,USA
15,Fudan University,54.037,1.0090903753368747,China,China (Mainland)
16,Alibaba,53.945,1.007383295198422,China,China (Mainland)
17,Seoul National University,53.736,1.003468053888222,South Korea,South Korea
18,HKUST,53.713,1.003040947018539,Hong Kong,Hong Kong
19,University of Hong Kong,53.563,1.0002378055599355,Hong Kong,Hong Kong
20,NTU Singapore,50.713,0.9470145880288888,Singapore,Singapore
21,Huawei,48.4,0.9038281979458451,China,China (Mainland)
22,Nanjing University,48.133,0.8988388673262626,China,China (Mainland)
23,Meta,48.037,0.8970504026526439,USA,USA
24,UIUC,47.337,0.8839796274559657,USA,USA
25,ByteDance,44.981,0.8399729907912132,China,China (Mainland)
26,CUHK,42.664,0.7967112771034348,Hong Kong,Hong Kong
27,Harvard University,42.088,0.7859603027670257,USA,USA
28,ETH Zurich,41.29,0.7710565707764585,Switzerland,Switzerland
29,Shanghai AI Lab,40.456,0.755472559394128,China,China (Mainland)
30,Georgia Tech,39.399,0.7357468239821181,USA,USA
31,NYU,38.942,0.7272094022794304,USA,USA
32,Harbin Institute of Technology,37.886,0.7074829931972789,China,China (Mainland)
33,McGill / U Montréal / Mila,34.217,0.6389666977902273,Canada,Canada
34,USC,34.114,0.6370414759770501,USA,USA
35,UCLA,33.354,0.6228573511486675,USA,USA
36,Tencent,33.34,0.6225948114493004,China,China (Mainland)
37,Princeton University,32.914,0.6146414617592563,USA,USA
38,University of Cambridge,31.813,0.5940828783966039,UK,UK
39,HKUST (Guangzhou),31.73,0.5925305794832552,China,China (Mainland)
40,Technical University of Munich,30.188,0.5637366057534124,Germany,Germany
41,Google,30.146,0.562943695996917,USA,USA
42,EPFL,29.734,0.5552591406933143,Switzerland,Switzerland
43,NVIDIA,29.532,0.551479851199739,USA,USA
44,UT Austin,28.305,0.5285677834697441,USA,USA
45,Renmin University of China,28.271,0.5279296903946762,China,China (Mainland)
46,UC San Diego,27.232,0.5085397618200213,USA,USA
47,Amazon,27.226,0.5084137855035687,USA,USA
48,Yonsei University,26.983,0.5038904450669156,South Korea,South Korea
49,CUHK (Shenzhen),26.253,0.4902452208953755,China,China (Mainland)
50,University of Washington,25.524,0.47663823972242064,USA,USA
51,University of Pennsylvania,25.517,0.47650979583752684,USA,USA
52,MBZUAI,24.759,0.46234398755407147,UAE,Middle East
53,University of Maryland,23.645,0.441547790287286,USA,USA
54,Apple,23.469,0.4382716049382716,USA,USA
55,University of Michigan,23.145,0.4322196714943287,USA,USA
56,Hong Kong Polytechnic University,23.086,0.43111045587825764,Hong Kong,Hong Kong
57,Cornell University,23.048,0.43039672009154534,USA,USA
58,East China Normal University,22.21,0.41474367524787686,China,China (Mainland)
