rank,institution,count,percentage,country,region
1,Tsinghua University,332,6.19865571321882,China,China (Mainland)
2,Shanghai Jiao Tong University,240,4.480955937266617,China,China (Mainland)
3,Zhejiang University,232,4.33159073935773,China,China (Mainland)
4,Peking University,229,4.275578790141897,China,China (Mainland)
5,Stanford University,177,3.30470500373413,USA,USA
6,NUS,173,3.230022404779686,Singapore,Singapore
7,Carnegie Mellon University,167,3.117998506348021,USA,USA
8,MIT,167,3.117998506348021,USA,USA
9,University of Hong Kong,152,2.8379387602688575,Hong Kong,Hong Kong
10,HKUST,148,2.7632561613144135,Hong Kong,Hong Kong
11,USTC,148,2.7632561613144135,China,China (Mainland)
12,Fudan University,147,2.744585511575803,China,China (Mainland)
13,Microsoft,143,2.6699029126213594,USA,USA
14,CUHK,139,2.5952203136669154,Hong Kong,Hong Kong
15,NTU Singapore,137,2.5578790141896937,Singapore,Singapore
16,Alibaba,135,2.520537714712472,China,China (Mainland)
17,Shanghai AI Lab,135,2.520537714712472,China,China (Mainland)
18,UCAS,120,2.2404779686333085,China,China (Mainland)
19,UC Berkeley,114,2.1284540702016432,USA,USA
20,Huawei,111,2.0724421209858104,China,China (Mainland)
21,KAIST,110,2.0537714712471993,South Korea,South Korea
22,Nanjing University,110,2.0537714712471993,China,China (Mainland)
23,ByteDance,107,1.9977595220313666,China,China (Mainland)
24,University of Oxford,104,1.941747572815534,UK,UK
25,Meta,103,1.9230769230769231,USA,USA
26,UIUC,99,1.8483943241224794,USA,USA
27,Tencent,94,1.755041075429425,China,China (Mainland)
28,Harvard University,83,1.549663928304705,USA,USA
29,Harbin Institute of Technology,83,1.549663928304705,China,China (Mainland)
30,Seoul National University,79,1.4749813293502614,South Korea,South Korea
31,ETH Zurich,78,1.4563106796116505,Switzerland,Switzerland
32,NYU,77,1.4376400298730396,USA,USA
33,UCLA,76,1.4189693801344287,USA,USA
34,HKUST (Guangzhou),75,1.4002987303958179,China,China (Mainland)
35,McGill / U Montréal / Mila,74,1.3816280806572068,Canada,Canada
36,NVIDIA,73,1.362957430918596,USA,USA
37,Amazon,72,1.344286781179985,USA,USA
38,University of Washington,71,1.3256161314413741,USA,USA
39,Princeton University,70,1.3069454817027633,USA,USA
40,Renmin University of China,68,1.2696041822255415,China,China (Mainland)
41,Google,68,1.2696041822255415,USA,USA
42,University of Cambridge,67,1.2509335324869306,UK,UK
43,Georgia Tech,66,1.2322628827483197,USA,USA
44,MBZUAI,66,1.2322628827483197,UAE,Middle East
45,UT Austin,63,1.1762509335324869,USA,USA
46,UC San Diego,61,1.1389096340552651,USA,USA
47,CUHK (Shenzhen),58,1.0828976848394325,China,China (Mainland)
48,USC,58,1.0828976848394325,USA,USA
49,EPFL,55,1.0268857356235996,Switzerland,Switzerland
50,Sun Yat-sen University,54,1.0082150858849888,China,China (Mainland)
51,Hong Kong Polytechnic University,54,1.0082150858849888,Hong Kong,Hong Kong
52,Beihang University,54,1.0082150858849888,China,China (Mainland)
53,Westlake University,51,0.9522031366691561,China,China (Mainland)
54,University of Maryland,49,0.9148618371919343,USA,USA
55,Johns Hopkins University,49,0.9148618371919343,USA,USA
56,Technical University of Munich,49,0.9148618371919343,Germany,Germany
57,Google DeepMind,49,0.9148618371919343,UK,UK
58,University of Pennsylvania,47,0.8775205377147125,USA,USA
59,Ant Group,46,0.8588498879761016,China,China (Mainland)
60,Apple,44,0.8215085884988798,USA,USA
61,CAS Institute of Automation,44,0.8215085884988798,China,China (Mainland)
62,University of Michigan,42,0.784167289021658,USA,USA
63,Cornell University,42,0.784167289021658,USA,USA
64,Northeastern University,41,0.765496639283047,USA,USA
65,East China Normal University,41,0.765496639283047,China,China (Mainland)
66,UCL,40,0.7468259895444361,UK,UK
67,University of Toronto,40,0.7468259895444361,Canada,Canada
68,Duke University,39,0.7281553398058253,USA,USA
69,University of Wisconsin–Madison,39,0.7281553398058253,USA,USA
70,Independent Researcher,39,0.7281553398058253,Other,Other / Unknown
71,Yonsei University,39,0.7281553398058253,South Korea,South Korea
72,Tianjin University,39,0.7281553398058253,China,China (Mainland)
73,South China U. of Technology,38,0.7094846900672144,China,China (Mainland)
74,Singapore Management University,37,0.6908140403286034,Singapore,Singapore
75,Imperial College London,36,0.6721433905899925,UK,UK
76,Yale University,36,0.6721433905899925,USA,USA
77,Adobe,35,0.6534727408513816,USA,USA
78,University of Tokyo,35,0.6534727408513816,Japan,Japan
79,Kuaishou,35,0.6534727408513816,China,China (Mainland)
80,HUST (Wuhan),34,0.6348020911127707,China,China (Mainland)
81,Chinese Academy of Sciences,34,0.6348020911127707,China,China (Mainland)
82,Tongji University,33,0.6161314413741599,China,China (Mainland)
83,Southeast University,33,0.6161314413741599,China,China (Mainland)
84,Monash University,32,0.5974607916355489,Australia,Australia & NZ
85,Columbia University,32,0.5974607916355489,USA,USA
86,Texas A&M University,31,0.578790141896938,USA,USA
87,IBM,31,0.578790141896938,USA,USA
88,UNC Chapel Hill,31,0.578790141896938,USA,USA
89,University of Chicago,31,0.578790141896938,USA,USA
90,Purdue University,30,0.5601194921583271,USA,USA
91,SUSTech,27,0.5041075429424944,China,China (Mainland)
92,Peng Cheng Lab,27,0.5041075429424944,China,China (Mainland)
93,Xi’an Jiaotong University,27,0.5041075429424944,Other,Other / Unknown
94,Beijing University of Posts and Telecommunications,27,0.5041075429424944,Other,Other / Unknown
95,Ohio State University,26,0.4854368932038835,USA,USA
96,Meituan,26,0.4854368932038835,China,China (Mainland)
97,University of Edinburgh,26,0.4854368932038835,UK,UK
98,Xidian University,26,0.4854368932038835,China,China (Mainland)
99,Shanghai Innovation Institute,26,0.4854368932038835,China,China (Mainland)
100,Hong Kong Baptist University,26,0.4854368932038835,Hong Kong,Hong Kong
101,Shenzhen University,26,0.4854368932038835,China,China (Mainland)
102,Institute of Science Tokyo,25,0.46676624346527257,Japan,Japan
103,Korea University,25,0.46676624346527257,South Korea,South Korea
104,Xiamen University,25,0.46676624346527257,China,China (Mainland)
105,Northwestern University,25,0.46676624346527257,USA,USA
106,University of Waterloo,25,0.46676624346527257,Canada,Canada
107,ShanghaiTech University,25,0.46676624346527257,China,China (Mainland)
108,KAUST,24,0.4480955937266617,Saudi Arabia,Middle East
109,CNRS,24,0.4480955937266617,France,France
110,Wuhan University,24,0.4480955937266617,China,China (Mainland)
111,University of Sydney,24,0.4480955937266617,Australia,Australia & NZ
112,Beijing Institute of Technology,24,0.4480955937266617,China,China (Mainland)
113,Inria,24,0.4480955937266617,France,France
114,Nankai University,23,0.4294249439880508,China,China (Mainland)
115,Max Planck Institutes,23,0.4294249439880508,Germany,Germany
116,Arizona State University,23,0.4294249439880508,USA,USA
117,Penn State,22,0.4107542942494399,USA,USA
118,CISPA,21,0.392083644510829,Germany,Germany
119,Technion,21,0.392083644510829,Israel,Israel
120,University of Illinois Chicago,21,0.392083644510829,USA,USA
121,Sapienza / U. Pisa,21,0.392083644510829,Italy,Other Europe
122,University of Amsterdam,21,0.392083644510829,Netherlands,Other Europe
123,UC Santa Barbara,20,0.37341299477221807,USA,USA
124,Rice University,20,0.37341299477221807,USA,USA
125,Nanjing U. of Science & Technology,20,0.37341299477221807,China,China (Mainland)
126,LMU Munich,19,0.3547423450336072,Germany,Germany
127,University of Virginia,19,0.3547423450336072,USA,USA
128,Michigan State University,19,0.3547423450336072,USA,USA
129,Salesforce,19,0.3547423450336072,USA,USA
130,SenseTime,19,0.3547423450336072,China,China (Mainland)
131,UESTC,19,0.3547423450336072,China,China (Mainland)
132,Samsung,18,0.33607169529499625,South Korea,South Korea
133,BIGAI,18,0.33607169529499625,China,China (Mainland)
134,Jilin University,18,0.33607169529499625,China,China (Mainland)
135,University of British Columbia,18,0.33607169529499625,Canada,Canada
136,Dartmouth College,17,0.3174010455563854,USA,USA
137,RIKEN,17,0.3174010455563854,Japan,Japan
138,Stony Brook University,17,0.3174010455563854,USA,USA
139,Aalto University,17,0.3174010455563854,Finland,Other Europe
140,Nanjing U. of Aeronautics & Astronautics,17,0.3174010455563854,China,China (Mainland)
141,University of Queensland,17,0.3174010455563854,Australia,Australia & NZ
142,BAAI,16,0.29873039581777444,China,China (Mainland)
143,SungKyunKwan University,16,0.29873039581777444,South Korea,South Korea
144,University of Central Florida,16,0.29873039581777444,USA,USA
145,University of Adelaide,16,0.29873039581777444,Australia,Australia & NZ
146,Beijing Jiaotong University,16,0.29873039581777444,China,China (Mainland)
147,POSTECH,16,0.29873039581777444,South Korea,South Korea
148,University of Melbourne,16,0.29873039581777444,Australia,Australia & NZ
149,UC Santa Cruz,15,0.28005974607916356,USA,USA
150,Virginia Tech,15,0.28005974607916356,USA,USA
151,Central South University,15,0.28005974607916356,China,China (Mainland)
152,Northwestern Polytechnical U.,15,0.28005974607916356,China,China (Mainland)
153,Rutgers University,15,0.28005974607916356,USA,USA
154,UNSW Sydney,15,0.28005974607916356,Australia,Australia & NZ
155,IST Austria,14,0.26138909634055263,Austria,Other Europe
156,Shanghai U. of Finance & Economics,14,0.26138909634055263,China,China (Mainland)
157,Shandong University,14,0.26138909634055263,China,China (Mainland)
158,Saarland University,14,0.26138909634055263,Germany,Germany
159,Baidu,14,0.26138909634055263,China,China (Mainland)
